"TestIndex","TestId","ManifoldId","Run","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport","IsUS100"
"13","0013_RUN3_Pass1483_XAUUSD_IS","RUN3_Pass1483","RUN3","1483","XAUUSD","Metals","IS","2006.04.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_IS_20060401_20120101.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_IS_20060401_20120101.xml.htm","False"
"14","0014_RUN3_Pass1483_XAUUSD_VAL","RUN3_Pass1483","RUN3","1483","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"15","0015_RUN3_Pass1483_XAUUSD_OOS","RUN3_Pass1483","RUN3","1483","XAUUSD","Metals","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\XAUUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"16","0016_RUN3_Pass1483_XAGUSD_IS","RUN3_Pass1483","RUN3","1483","XAGUSD","Metals","IS","2006.04.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_IS_20060401_20120101.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_IS_20060401_20120101.xml.htm","False"
"17","0017_RUN3_Pass1483_XAGUSD_VAL","RUN3_Pass1483","RUN3","1483","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"18","0018_RUN3_Pass1483_XAGUSD_OOS","RUN3_Pass1483","RUN3","1483","XAGUSD","Metals","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\XAGUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"19","0019_RUN3_Pass1483_US500_IS","RUN3_Pass1483","RUN3","1483","US500","Indices","IS","2005.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml.htm","False"
"20","0020_RUN3_Pass1483_US500_VAL","RUN3_Pass1483","RUN3","1483","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"21","0021_RUN3_Pass1483_US500_OOS","RUN3_Pass1483","RUN3","1483","US500","Indices","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\US500_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"22","0022_RUN3_Pass1483_US30_IS","RUN3_Pass1483","RUN3","1483","US30","Indices","IS","2005.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml","reports\expanded_basket\US30_D1StopLossSplit_RUN3_Pass1483_IS_20050101_20120101.xml.htm","False"
