"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"64","0064_Pass3634_EURJPY_OOS","3634","EURJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"65","0065_Pass3634_XAUUSD_IS","3634","XAUUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"66","0066_Pass3634_XAUUSD_VAL","3634","XAUUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"67","0067_Pass3634_XAUUSD_OOS","3634","XAUUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAUUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"68","0068_Pass3634_XAGUSD_IS","3634","XAGUSD","Metals","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"69","0069_Pass3634_XAGUSD_VAL","3634","XAGUSD","Metals","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"70","0070_Pass3634_XAGUSD_OOS","3634","XAGUSD","Metals","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\XAGUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"71","0071_Pass3634_US500_IS","3634","US500","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"72","0072_Pass3634_US500_VAL","3634","US500","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"73","0073_Pass3634_US500_OOS","3634","US500","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US500_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"74","0074_Pass3634_US100_VAL","3634","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3634_VAL_20140915_20180101.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3634_VAL_20140915_20180101.xml.htm"
"75","0075_Pass3634_US100_OOS","3634","US100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"76","0076_Pass3634_UK100_IS","3634","UK100","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"77","0077_Pass3634_UK100_VAL","3634","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"78","0078_Pass3634_UK100_OOS","3634","UK100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"79","0079_Pass2303_EURUSD_IS","2303","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_IS_20000101_20120101.xml.htm"
"80","0080_Pass2303_EURUSD_VAL","2303","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_VAL_20120101_20180101.xml.htm"
"81","0081_Pass2303_EURUSD_OOS","2303","EURUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass2303.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass2303_OOS_20180101_20260601.xml.htm"
